alpha,gamma,gammareward
0.8,0.0,-1.0
0.8,0.111111111111,-1.125
0.8,0.222222222222,-1.28571428571
0.8,0.333333333333,-1.5
0.8,0.444444444444,-1.8
0.8,0.555555555556,-2.25
0.8,0.666666666667,-3.0
0.8,0.777777777778,-4.5
0.8,0.888888888889,-8.99999999947
0.822222222222,0.0,-1.0
0.822222222222,0.111111111111,-1.125
0.822222222222,0.222222222222,-1.28571428571
0.822222222222,0.333333333333,-1.5
0.822222222222,0.444444444444,-1.8
0.822222222222,0.555555555556,-2.25
0.822222222222,0.666666666667,-3.0
0.822222222222,0.777777777778,-4.5
0.822222222222,0.888888888889,-8.99999999947
0.844444444444,0.0,-1.0
0.844444444444,0.111111111111,-1.125
0.844444444444,0.222222222222,-1.28571428571
0.844444444444,0.333333333333,-1.5
0.844444444444,0.444444444444,-1.8
0.844444444444,0.555555555556,-2.25
0.844444444444,0.666666666667,-3.0
0.844444444444,0.777777777778,-4.5
0.844444444444,0.888888888889,-8.99999999947
0.866666666667,0.0,-1.0
